victim_name,victim_weapon,victim_parts,killer_name,killer_weapon,killer_parts,distance,log_time
KR_KimHyoseop,WeapSKS_C_0,,curious100,WeapQBZ95_C,,1218.7120361328125,2023-06-17 14:51:01.713
MINSIK7,WeapACE32_C_3,,58774485sss,WeapThompson_C,,1152.774169921875,2023-06-17 14:51:14.791
SsharkGX,WeapACE32_C_1,,StellaR_96,WeapQBZ95_C,,677.8629150390625,2023-06-17 14:51:14.794
dmcc3136,WeapAK47_C_4,,mkkuk,WeapSaiga12_C,,701.2318725585938,2023-06-17 14:51:15.435
pktldhs12,,,mkkuk,WeapSaiga12_C,,236.64935302734375,2023-06-17 14:51:18.958
Hakkin_Won,WeapUZI_C_1,,010-5542-5562,WeapSaiga12_C,,937.269287109375,2023-06-17 14:51:20.633
Sen_Maa,WeapAK47_C_5,,Next_Gamer00,WeapACE32_C,,772.92919921875,2023-06-17 14:51:22.138
kingg2222,,,kor_onestar_,WeapUZI_C,,2879.531494140625,2023-06-17 14:51:22.141
Cha-01,,,58774485sss,WeapVector_C,,556.9988403320312,2023-06-17 14:51:22.251
Nae_style_2ya,WeapAUG_C_3,['Item_Attach_Weapon_Muzzle_FlashHider_Large_C'],GMtracer,WeapUZI_C,,916.5413818359375,2023-06-17 14:51:27.979
jojila,WeapM249_C_2,,Good2SU,WeapUMP_C,,278.6029968261719,2023-06-17 14:51:29.513
GMtracer,WeapUZI_C_3,,6082co4-2,WeapWinchester_C,,927.2061157226562,2023-06-17 14:51:49.031
yourimzamzi,WeapUMP_C_2,,harry12638,WeapMk12_C,['Item_Attach_Weapon_Upper_ACOG_01_C'],9019.6953125,2023-06-17 14:51:52.739
iamsosexy12,,,,,,-1.0,2023-06-17 14:52:16.939
CUTE_SEO_YEON,WeapHK416_C_10,"['Item_Attach_Weapon_Lower_HalfGrip_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Muzzle_FlashHider_Large_C', 'Item_Attach_Weapon_Magazine_QuickDraw_Large_C']",0070_Handeul,WeapBerylM762_C,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C']",1921.2322998046875,2023-06-17 14:52:34.472
wlqhddl7,WeapHK416_C_5,"['Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Muzzle_Suppressor_Large_C']",LrZr--------bye,WeapAK47_C,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C']",5855.05517578125,2023-06-17 14:52:38.045
gongsil2_2,WeapHK416_C_9,"['Item_Attach_Weapon_Upper_Aimpoint_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C']",LrZr--------bye,WeapAK47_C,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C']",2516.095703125,2023-06-17 14:52:38.048
Good2SU,WeapSKS_C_14,,6082co4-2,WeapWinchester_C,,740.0105590820312,2023-06-17 14:52:41.563
harry12638,WeapMk12_C_2,['Item_Attach_Weapon_Upper_ACOG_01_C'],ssangn0ma,WeapAUG_C,['Item_Attach_Weapon_Upper_Holosight_C'],9865.8671875,2023-06-17 14:52:51.624
jinwook1483,WeapM249_C_3,['Item_Attach_Weapon_Stock_AR_HeavyStock_C'],ssangn0ma,WeapAUG_C,['Item_Attach_Weapon_Upper_Holosight_C'],1955.7000732421875,2023-06-17 14:52:51.626
Munhyeon-dong,WeapHK416_C_4,['Item_Attach_Weapon_Upper_Aimpoint_C'],Lucid_Motors,WeapM16A4_C,"['Item_Attach_Weapon_Stock_AR_Composite_C', 'Item_Attach_Weapon_Upper_Aimpoint_C']",2038.3365478515625,2023-06-17 14:52:58.072
njc153,WeapVector_C_13,['Item_Attach_Weapon_Magazine_Extended_Medium_C'],jotbyung,WeapAUG_C,"['Item_Attach_Weapon_Upper_Aimpoint_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Lower_ThumbGrip_C']",320.2715759277344,2023-06-17 14:52:58.076
mua3617,WeapBerylM762_C_15,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_AngledForeGrip_C', 'Item_Attach_Weapon_Muzzle_Suppressor_Large_C', 'Item_Attach_Weapon_Magazine_QuickDraw_Large_C']",Atobjob,WeapAUG_C,,3615.385009765625,2023-06-17 14:53:08.629
mkkuk,WeapSaiga12_C_2,['Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C'],58774485sss,WeapVector_C,,366.45306396484375,2023-06-17 14:53:08.726
sibeoleojiya,WeapACE32_C_9,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_HalfGrip_C', 'Item_Attach_Weapon_Upper_Holosight_C']",Next_Gamer00,WeapVector_C,,1530.89404296875,2023-06-17 14:53:18.819
Bulldozer-_-b,WeapThompson_C_2,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Magazine_Extended_Medium_C']",OsstemNurse,WeapHK416_C,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Stock_AR_Composite_C']",3502.477294921875,2023-06-17 14:53:20.287
sisolsisole,WeapAUG_C_2,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C']",010-5542-5562,WeapAUG_C,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_AngledForeGrip_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C']",2043.97119140625,2023-06-17 14:53:50.187
